date,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2001-01-01,,19.36788711500081,47.760278253969936,22.275356562241264,18.896399978140128,5,1,1,1,1,Muy Malo
2001-01-02,,17.426450490951538,45.14165040422109,36.652238515467424,16.859624155985763,5,1,1,1,1,Muy Malo
2001-01-03,,24.811872947176166,53.401426400893776,23.55879803957083,18.297259609286602,5,1,2,1,1,Muy Malo
2001-01-04,,25.08637589276237,50.055048148601486,25.265473521922985,17.920690221541573,5,2,2,1,1,Muy Malo
2001-01-05,,26.796616666515668,51.62929487992556,11.781987203619419,18.446490362668648,5,2,2,1,1,Muy Malo
2001-01-06,,10.99303333391746,43.12770840640251,29.976554496548115,16.911105810067593,5,1,1,1,1,Muy Malo
2001-01-07,,12.88898331463337,49.13745130966236,24.684743567537037,19.402147468083943,5,1,1,1,1,Muy Malo
2001-01-08,,40.37180136329798,68.80096416126669,19.01478328635949,28.654526542890128,5,2,2,1,1,Muy Malo
2001-01-09,,40.97166668176651,69.12758455875415,6.743750011118559,31.023349317984703,5,2,2,1,1,Muy Malo
2001-01-10,,43.38550915184722,59.893605798482895,7.945320513768074,31.712099368755634,5,2,2,1,1,Muy Malo
2001-01-11,,21.62147153011931,56.844310882381905,17.586153847666885,21.245304485926262,5,1,2,1,1,Muy Malo
2001-01-12,,25.2808361220918,67.76170146752322,13.635730306562605,28.539598762702024,5,2,2,1,1,Muy Malo
2001-01-13,,38.87569995760918,69.06825317404208,12.198814122531658,34.27708335182606,5,2,2,1,1,Muy Malo
2001-01-14,,41.217183271249134,66.02041665407327,12.042291666643742,34.57041666752253,5,2,2,1,1,Muy Malo
2001-01-15,,37.46727435445307,55.561350440672356,9.299356913068287,26.34464626833557,5,2,2,1,1,Muy Malo
2001-01-16,,23.30274999976158,49.39275644796017,17.683221174738346,19.558733943945324,5,1,1,1,1,Muy Malo
2001-01-17,,25.560383301377296,51.36509619882474,20.274375011905647,20.012259611716637,5,2,2,1,1,Muy Malo
2001-01-18,,20.01652029962153,56.0884604709075,19.168555215194626,19.264051840023246,5,1,2,1,1,Muy Malo
2001-01-19,,29.396086988863736,63.182479600144056,16.679022788419008,27.508189229358468,5,2,2,1,1,Muy Malo
2001-01-20,,48.9698667605718,72.30448716573225,12.488926288218071,36.08020832294073,5,2,2,1,1,Muy Malo
2001-01-21,,51.2475665807724,65.50629804722773,11.98322119945899,37.087115346621246,5,3,2,1,1,Muy Malo
2001-01-22,,55.752656472717646,69.0650729433644,7.92555916367319,35.135688801831904,5,3,2,1,1,Muy Malo
2001-01-23,,15.28834754695681,48.94769991941592,18.61143559460539,19.17771616184303,5,1,1,1,1,Muy Malo
2001-01-24,,16.495483341614406,44.698677365241515,25.57293266057968,19.37166666296812,5,1,1,1,1,Muy Malo
2001-01-25,,16.190487386599308,45.46330658228018,34.607724350996506,17.032692315486763,5,1,1,1,1,Muy Malo
2001-01-26,,15.496699988941351,49.86040717343943,26.677996806227245,14.664687003216812,5,1,1,1,1,Muy Malo
2001-01-27,,16.059766617417335,49.4801762658052,22.7570031950107,20.399326915924366,5,1,1,1,1,Muy Malo
2001-01-28,,10.327173935131086,30.39687497044603,43.065945495397614,16.222451894329144,5,1,1,1,1,Muy Malo
2001-01-29,,22.37630002359549,52.292475803812124,31.039439155123173,24.299277685044473,5,1,2,1,1,Muy Malo
2001-01-30,,62.47976609780912,93.15666667696757,10.479102584413994,42.18467949139766,5,3,2,1,1,Muy Malo
2001-01-31,,57.42439599685221,73.43698720977856,13.256185921529928,43.23395839715615,5,3,2,1,1,Muy Malo
2001-02-01,,41.4538898834203,66.63999991248275,13.407532037832798,36.233987145868525,5,2,2,1,1,Muy Malo
2001-02-02,,58.36210337743934,74.77376599342395,9.119599373485798,42.49040062305255,5,3,2,1,1,Muy Malo
2001-02-03,,48.27898335735003,67.67714731357036,10.630849347473719,37.782227570429825,5,2,2,1,1,Muy Malo
2001-02-04,,28.842133304278057,44.92278847289391,19.001089720771862,25.07052887326632,5,2,1,1,1,Muy Malo
2001-02-05,,29.3635999417305,56.71105939159424,18.35134615844641,20.663874618110167,5,2,2,1,1,Muy Malo
2001-02-06,,26.4433166573445,55.676169854326126,16.83642624452328,24.79493587129773,5,2,2,1,1,Muy Malo
2001-02-07,,24.428786347666357,54.301637231633904,23.32727566628884,18.277628225011703,5,1,2,1,1,Muy Malo
2001-02-08,,15.917343758667508,52.36137822614266,29.290256390586876,18.08524038699957,5,1,2,1,1,Muy Malo
2001-02-09,,27.305342742554544,53.2926298737913,23.88845162353208,20.117306464333687,5,2,2,1,1,Muy Malo
2001-02-10,,30.777239572670723,48.241193479107274,18.268141034321907,20.864727593003174,5,2,1,1,1,Muy Malo
2001-02-11,,45.979114583383,53.095160333009865,12.500336536421226,34.89814106928996,5,2,2,1,1,Muy Malo
2001-02-12,,58.811047120036044,75.29496760099165,9.319147900561427,38.71913180550578,5,3,2,1,1,Muy Malo
2001-02-13,,54.01668441041987,72.9642294711754,10.276437907047521,34.74508174416287,5,3,2,1,1,Muy Malo
2001-02-14,,29.13276521599811,56.191073786849394,18.341410216039574,24.21104166207787,5,2,2,1,1,Muy Malo
2001-02-15,,20.208090270662474,51.84825315075712,25.891249975822387,20.888057772458843,5,1,2,1,1,Muy Malo
2001-02-16,,28.133368015703226,67.28557683030765,27.652724356223377,27.01865389713874,5,2,2,1,1,Muy Malo
2001-02-17,,32.29621535829372,81.48046482220674,20.575913459062576,31.256314078202614,5,2,2,1,1,Muy Malo
2001-02-18,,27.505659710615873,57.9009775076157,24.712756413393297,25.36357375903007,5,2,2,1,1,Muy Malo
2001-02-19,,27.6499306095971,58.36293741095554,30.219871814243305,24.15953524563557,5,2,2,1,1,Muy Malo
2001-02-20,,45.32831019557727,83.6641985881023,17.679455140080208,37.22235957079867,5,2,2,1,1,Muy Malo
2001-02-21,,60.44638271027423,103.41881415782831,12.717355769032087,44.16950312562478,5,3,3,1,1,Muy Malo
2001-02-22,,78.57228731432706,111.57461528441844,10.293830109234804,51.1441025688098,5,3,3,1,2,Muy Malo
2001-02-23,,87.94008732008476,95.72575300320601,9.910657049753727,46.8832212579556,5,3,2,1,1,Muy Malo
2001-02-24,,30.32594784612241,54.10327445102159,22.630993599119858,24.678202277010556,5,2,2,1,1,Muy Malo
2001-02-25,,10.140017351549533,41.574439054880386,43.01847750941912,17.89389424217053,5,1,1,1,1,Muy Malo
2001-02-26,,28.792121758564658,67.13275533557132,27.157403794523233,26.151714738362873,5,2,2,1,1,Muy Malo
2001-02-27,,27.567122799890083,52.46628425964824,32.65064624438185,19.99768982719335,5,2,2,1,1,Muy Malo
2001-02-28,,19.864874148325953,51.805243662325275,37.40287125228655,20.977656752362897,5,1,2,1,1,Muy Malo
2001-03-01,,25.76377662107454,63.093251689976334,20.261960834459543,20.421258202565262,5,2,2,1,1,Muy Malo
2001-03-02,,16.496090878356586,53.70223333676656,23.094750006596247,19.404566636482876,5,1,2,1,1,Muy Malo
2001-03-03,,11.418266427125374,40.53886656324069,42.468483344713846,16.076199979980785,5,1,1,1,1,Muy Malo
2001-03-04,,13.810199287058651,43.843549975355465,35.47301665027936,14.354533336162568,5,1,1,1,1,Muy Malo
2001-03-05,,23.8952717271404,55.775483249028525,25.257466673056285,18.6643166577816,5,1,2,1,1,Muy Malo
2001-03-06,,34.002977936583406,48.672168088159644,17.31872909483702,23.534201711766862,5,2,1,1,1,Muy Malo
